task,modality,feature,mean_abs_shap,rank
pam50_basal_like,genomic,CENPF,0.027047015967524953,28
pam50_basal_like,genomic,BIRC5,0.026325010689031463,29
pam50_basal_like,genomic,GRB7,0.023430814442826162,30
pam50_basal_like,genomic,FOXA1,0.023158681035082056,31
pam50_basal_like,genomic,TMEM45B,0.022186566364378827,32
pam50_basal_like,genomic,MYBL2,0.02019036682199507,33
pam50_basal_like,clinical,stage_II,0.019567039519317993,34
pam50_basal_like,genomic,KIF2C,0.01940488971321732,35
pam50_basal_like,genomic,BLVRA,0.018517419705524986,36
pam50_basal_like,genomic,KRT14,0.017915626170878364,37
pam50_basal_like,genomic,CDC20,0.017799156202272393,38
pam50_basal_like,genomic,EXO1,0.01759652083198785,39
pam50_basal_like,genomic,MYC,0.014745486424788734,40
pam50_basal_like,genomic,PGR,0.01419296191110873,41
pam50_basal_like,clinical,stage_IV,0.014183119189710507,42
pam50_basal_like,genomic,BCL2,0.013920118061806864,43
pam50_basal_like,genomic,MIA,0.013113265490106036,44
pam50_basal_like,genomic,TYMS,0.011984373641624944,45
pam50_basal_like,genomic,KRT5,0.011518939197558866,46
pam50_basal_like,genomic,NUF2,0.011282667431949465,47
pam50_basal_like,genomic,UBE2C,0.011051386985544228,48
pam50_basal_like,genomic,MDM2,0.009692088028101616,49
pam50_basal_like,genomic,SLC39A6,0.009259635000713808,50
pam50_basal_like,clinical,nodal_N3,0.0090259482520197,51
pam50_basal_like,genomic,MMP11,0.00806602153007688,52
pam50_basal_like,genomic,BAG1,0.007521742255355555,53
pam50_basal_like,genomic,MKI67,0.007352317881208843,54
pam50_basal_like,genomic,ORC6L,0.007146674598061649,55
pam50_basal_like,genomic,PTTG1,0.007052224091542928,56
pam50_basal_like,clinical,stage_Unknown,0.006976953566010448,57
pam50_basal_like,genomic,MELK,0.005726152842433982,58
pam50_basal_like,genomic,UBE2T,0.005306335844633333,59
pam50_basal_like,genomic,NDC80,0.0045780140599025985,60
pam50_basal_like,clinical,nodal_Unknown,0.0024618548518891338,61
pam50_basal_like,clinical,sex_male,0.0018995315996222768,62
pam50_normal_like,genomic,ESR1,0.09893680980737218,1
pam50_normal_like,genomic,FOXC1,0.08700292136352704,2
pam50_normal_like,genomic,CEP55,0.06780365383858168,3
pam50_normal_like,clinical,age,0.05047381449966579,4
pam50_normal_like,genomic,KRT17,0.04731582535044718,5
pam50_normal_like,genomic,ANLN,0.04560000144044607,6
pam50_normal_like,clinical,stage_III,0.036212453600783526,7
pam50_normal_like,genomic,CDC6,0.0329575117204206,8
pam50_normal_like,clinical,nodal_N0,0.030967372420533698,9
pam50_normal_like,genomic,CCNB1,0.022549793526800754,10
pam50_normal_like,genomic,GRB7,0.02148807060642239,11
pam50_normal_like,genomic,MAPT,0.020311500319895294,12
pam50_normal_like,genomic,MLPH,0.019557886757537574,13
pam50_normal_like,clinical,stage_II,0.019356823372722216,14
pam50_normal_like,genomic,EXO1,0.016795569892953166,15
